airport,latitude,longitude,municipality,country,country_code,city,state,postal_code,calling_code,timezone
Jorhat Airport,26.7315006256,94.1754989624,Jorhat,India,IN-AS,,Odisha,758013,91,Asia/Kolkata
KEONJHAR AIRPORT,21.6966666667,85.58166666670002,,India,IN-OR,,Tripura,799286,91,Asia/Kolkata
Kamalpur Airport,24.13170051574707,91.81420135498048,,India,IN-TR,,Tripura,799264,91,Asia/Kolkata
Kailashahar Airport,24.30820083618164,92.0072021484375,,India,IN-TR,,Assam,788108,91,Asia/Kolkata
Silchar Airport,24.912900924699997,92.97869873049999,Silchar,India,IN-AS,,Tripura,799201,91,Asia/Kolkata
Khowai Airport,24.061899,91.603897,Khowai,India,IN-TR,,Mizoram,796410,91,Asia/Kolkata
Lengpui Airport,23.8405990601,92.6196975708,Aizawl,India,IN-MZ,,Assam,787001,91,Asia/Kolkata
North Lakhimpur Airport,27.295499801635746,94.09760284423828,Lilabari,India,IN-AS,Malda,West Bengal,732101,91,Asia/Kolkata
Malda Airport,25.033001,88.133003,Malda,India,IN-WB,Dibrugarh,Assam,786001,91,Asia/Kolkata
Dibrugarh Airport,27.4839000702,95.01689910889999,Dibrugarh,India,IN-AS,,Nagaland,797115,91,Asia/Kolkata
Dimapur Airport,25.883899688699998,93.77110290530001,Dimapur,India,IN-NL,,Bihar,842003,91,Asia/Kolkata
Muzaffarpur Airport,26.11910057067871,85.3136978149414,,India,IN-BR,,Odisha,766105,91,Asia/Kolkata
Nawapara Airport,20.8700008392334,82.51959991455078,Nawapara,India,IN-CT,,Arunachal Pradesh,791102,91,Asia/Kolkata
Pasighat Airport,28.06609916687012,95.33560180664062,Pasighat,India,IN-AR,,West Bengal,713212,91,Asia/Kolkata
Panagarh Air Force Station,23.474300384499998,87.42749786379999,,India,IN-WB,,West Bengal,700122,91,Asia/Kolkata
Barrackpore Air Force Station,22.7810001373,88.35919952389999,Barrackpore,India,IN-WB,Patna,Bihar,800001,91,Asia/Kolkata
Lok Nayak Jayaprakash Airport,25.591299056999997,85.08799743649999,Patna,India,IN-BR,,Bihar,,91,Asia/Kolkata
Purnea Airport,25.759599685668945,87.41000366210938,,India,IN-BR,,Jharkhand,834002,91,Asia/Kolkata
Birsa Munda Airport,23.31430053710001,85.3217010498,Ranchi,India,IN-JH,,Odisha,769004,91,Asia/Kolkata
Rourkela Airport,22.256701,84.814598,,India,IN-OR,,Bihar,845305,91,Asia/Kolkata
Raxaul Airport,26.96669960021973,84.83329772949219,,India,IN-BR,,Assam,,91,Asia/Kolkata
Rupsi India Airport,26.13969993591309,89.91000366210938,,India,IN-AS,,Assam,784501,91,Asia/Kolkata
Tezpur Airport,26.7091007232666,92.78469848632812,,India,IN-AS,,Odisha,766012,91,Asia/Kolkata
Utkela Airport,20.097400665283203,83.18379974365234,,India,IN-OR,,Andhra Pradesh,530027,91,Asia/Kolkata
Vishakhapatnam Airport,17.721201,83.224503,Visakhapatnam,India,IN-AP,,Arunachal Pradesh,791120,91,Asia/Kolkata
Ziro Airport,27.588301,93.828102,Ziro,India,IN-AR,,Virginia,23347,1,Asia/Kolkata
Bhilwara Airport,28.07710075378418,76.20500183105469,,India,IN-HR,,United States Virgin Islands,00803,1,Asia/Kolkata
Karnal Airport,29.714099884033203,77.0374984741211,,India,IN-HR,,Rajasthan,335804,91,Asia/Kolkata
Suratgarh New Airport,29.387800216674805,73.90390014648438,,India,IN-RJ,,Ladakh,194401,91,Asia/Kolkata
Thoise Airport,34.652599334716804,77.37580108642578,,India,IN-JK,,Ladakh,194103,91,Asia/Kolkata
Kargil Airport,34.5242996216,76.15589904790002,,India,IN-JK,,Ladakh,,91,Asia/Kolkata
Fukche Advanced Landing Ground,32.93740081787109,79.21320343017578,,India,IN-JK,Jhunjhunu,Rajasthan,333001,91,Asia/Kolkata
Jhunjhunu Airport,28.1067008972168,75.37560272216797,,India,IN-RJ,,Rajasthan,333031,91,Asia/Kolkata
Pilani New Airport,28.34880065917969,75.59369659423828,,India,IN-RJ,,Haryana,134102,91,Asia/Kolkata
Kalka Airport,30.82456970214844,76.88365173339844,,India,IN-HR,,Rajasthan,,91,Asia/Kolkata
Nagaur Airport,27.20829963684082,73.7114028930664,,India,IN-RJ,Kanpur,Uttar Pradesh,208012,91,Asia/Kolkata
IIT Kanpur Airport,26.520399,80.232904,Kalyanpur,India,IN-UP,,Madhya Pradesh,,91,Asia/Kolkata
Band Tal Airport,26.000099182128906,78.26180267333984,,India,IN-MP,,Uttarakhand,249196,91,Asia/Kolkata
Bharkot Airport,30.58289909362793,78.32340240478516,,India,IN-UP,,Punjab,143201,91,Asia/Kolkata
Jallowal Airport,31.559999465942386,75.34130096435547,,India,IN-PB,Akbarpur,Uttar Pradesh,224122,91,Asia/Kolkata
Akbarpur Airport,26.447599411010746,82.56819915771484,,India,IN-UP,Agra,Uttar Pradesh,282010,91,Asia/Kolkata
Agra Airport,27.155799865722656,77.96089935302734,,India,IN-UP,Aligarh,Uttar Pradesh,202001,91,Asia/Kolkata
Dhanipur Airstrip,27.860856311,78.14686775210002,Aligarth,India,IN-UP,Prayagraj,Uttar Pradesh,211001,91,Asia/Kolkata
Allahabad Airport,25.4401,81.733902,Allahabad,India,IN-UP,Ambala,Haryana,134002,91,Asia/Kolkata
Ambala Air Force Station,30.368099212646484,76.81670379638672,,India,IN-HR,,Punjab,143101,91,Asia/Kolkata
Sri Guru Ram Dass Jee International Airport,31.7096004486,74.7973022461,Amritsar,India,IN-PB,,Jammu and Kashmir,192124,91,Asia/Kolkata
Awantipur Air Force Station,33.876598358154304,74.97570037841797,,India,IN-JK,,Punjab,,91,Asia/Kolkata
Adampur Airport,31.4338,75.758797,Adampur,India,IN-PB,Ciudad Constitución,Baja California Sur,23600,52,Asia/Kolkata
Nal Airport,28.070600509643555,73.20719909667969,Bikaner,India,IN-RJ,,Uttar Pradesh,,91,Asia/Kolkata
Bakshi Ka Talab Air Force Station,26.988300323486328,80.89309692382812,Lucknow,India,IN-UP,,Uttar Pradesh,221006,91,Asia/Kolkata
Lal Bahadur Shastri Airport,25.4524,82.859299,Varanasi,India,IN-UP,,Himachal Pradesh,175125,91,Asia/Kolkata
Kullu Manali Airport,31.87669944763184,77.15440368652344,,India,IN-HP,,Punjab,,91,Asia/Kolkata
Bhatinda Air Force Station,30.270099639892567,74.75579833984375,,India,IN-PB,Bhiwani,Haryana,125021,91,Asia/Kolkata
Bhiwani Airport,28.83699989318848,76.1791000366211,,India,IN-HR,,Uttar Pradesh,243202,91,Asia/Kolkata
Bareilly Air Force Station,28.4221000671,79.45079803470001,Bareilly,India,IN-UP,Chandigarh,,140603,91,Asia/Kolkata
Chandigarh Airport,30.67350006103516,76.78849792480469,Chandigarh,India,IN-CH,,Uttar Pradesh,208010,91,Asia/Kolkata
Kanpur Airport,26.404301,80.410103,Kanpur,India,IN-UP,New Delhi,Delhi,110003,91,Asia/Kolkata
Safdarjung Airport,28.58449935913086,77.20580291748047,,India,IN-DL,,Uttarakhand,262500,91,Asia/Kolkata
Pithorgarh Airport,29.59359931945801,80.23919677734375,,India,IN-UP,,Uttarakhand,248016,91,Asia/Kolkata
Dehradun Airport,30.189699,78.180298,Dehradun,India,IN-UL,New Delhi,Delhi,110037,91,Asia/Kolkata
Indira Gandhi International Airport,28.5665,77.103104,New Delhi,India,IN-DL,,Delhi,201001,91,Asia/Kolkata
Hindon Air Force Station,28.70770072937012,77.35890197753906,,India,IN-UP,,Puglia,71019,39,Asia/Kolkata
Kangra Airport,32.16510009765625,76.26339721679688,,India,IN-HP,Gwalior,Madhya Pradesh,474001,91,Asia/Kolkata
Gwalior Airport,26.29330062866211,78.22779846191406,Gwalior,India,IN-MP,Hisar,Haryana,125001,91,Asia/Kolkata
Hissar Airport,29.179399490356445,75.75530242919922,,India,IN-HR,,Punjab,141107,91,Asia/Kolkata
Halwara Air Force Station,30.74850082397461,75.62979888916016,,India,IN-PB,,Uttar Pradesh,284001,91,Asia/Kolkata
Jhansi Airport,25.491199493408203,78.55840301513672,,India,IN-UP,Jodhpur,Rajasthan,342011,91,Asia/Kolkata
Jodhpur Airport,26.25110054016113,73.04889678955078,Jodhpur,India,IN-RJ,Jaipur Municipal Corporation,Rajasthan,303902,91,Asia/Kolkata
Jaipur International Airport,26.8242,75.812202,Jaipur,India,IN-RJ,,Rajasthan,345001,91,Asia/Kolkata
Jaisalmer Airport,26.88870048522949,70.86499786376953,,India,IN-RJ,Jammu,Jammu and Kashmir,180003,91,Asia/Kolkata
Jammu Airport,32.6890983582,74.83740234380002,Jammu,India,IN-JK,Kanpur,Uttar Pradesh,208012,91,Asia/Kolkata
Kanpur Civil Airport,26.44140100000001,80.364899,Kanpur,India,IN-UP,,Rajasthan,305802,91,Asia/Kolkata
Kishangarh Airport,26.601473,74.81414699999998,Ajmer,India,IN-RJ,Kota,Rajasthan,324001,91,Asia/Kolkata
Kota Airport,25.160200119000002,75.84559631350001,Kota,India,IN-RJ,,Punjab,141016,91,Asia/Kolkata
Ludhiana Airport,30.854700088500977,75.95259857177734,,India,IN-PB,Leh,Ladakh,0194101,91,Asia/Kolkata
Leh Kushok Bakula Rimpochee Airport,34.135898590100005,77.5465011597,Leh,India,IN-JK,,Uttar Pradesh,226012,91,Asia/Kolkata
Chaudhary Charan Singh International Airport,26.7605991364,80.8892974854,Lucknow,India,IN-UP,Lalitpur,Uttar Pradesh,284403,91,Asia/Kolkata
Lalitpur Airport,24.716999053955078,78.41699981689453,Lalitpur,India,IN-UP,Pathankot,Punjab,145001,91,Asia/Kolkata
Pathankot Airport,32.233611,75.63444399999999,Pathankot,India,IN-PB,Patiala,Punjab,147001,91,Asia/Kolkata
Patiala Airport,30.314800262451172,76.364501953125,,India,IN-PB,Rudrapur,Uttarakhand,263153,91,Asia/Kolkata
Pantnagar Airport,29.0334,79.473701,Pantnagar,India,IN-UP,Rae Bareli,Uttar Pradesh,,91,Asia/Kolkata
Fursatganj Airport,26.248501,81.380501,,India,IN-UP,Sirsa,Haryana,125055,91,Asia/Kolkata
Sirsa Air Force Station,29.56060028076172,75.006103515625,,India,IN-HR,,Himachal Pradesh,173207,91,Asia/Kolkata
Shimla Airport,31.0818,77.068001,,India,IN-HP,Saharanpur,Uttar Pradesh,247001,91,Asia/Kolkata
Sarsawa Air Force Station,29.993900299072266,77.42530059814453,,India,IN-UP,,Jammu and Kashmir,190014,91,Asia/Kolkata
Sheikh ul Alam Airport,33.987098693847656,74.77420043945312,Srinagar,India,IN-JK,,Madhya Pradesh,485005,91,Asia/Kolkata
Satna Airport,24.5623,80.854897,,India,IN-MP,,Rajasthan,,91,Asia/Kolkata
Uttarlai Airport,25.8129997253418,71.4822998046875,,India,IN-RJ,,Jammu and Kashmir,182101,91,Asia/Kolkata
Udhampur Air Force Station,32.902198791503906,75.15619659423828,,India,IN-JK,,Milne Bay,,675,Asia/Kolkata
Kovilpatti Airport,9.153889656066896,77.82119750976562,,India,IN-TN,,Karnataka,581123,91,Asia/Kolkata
Harihar Airport,14.535099983199999,75.787399292,,India,IN-KA,,Maharashtra,413512,91,Asia/Kolkata
Murod Kond Airport,18.411501,76.464699,Latur,India,IN-MM,,Tamil Nadu,628103,91,Asia/Kolkata
Tuticorin Airport,8.724241000000001,78.025803,Thoothukudi,India,IN-TN,,Andaman and Nicobar Islands,,91,Asia/Kolkata
Campbell Bay Airport,7.013040065765381,93.92279815673828,,India,IN-AN,,Tamil Nadu,635110,91,Asia/Kolkata
Hosur Airport,12.661299705505373,77.76719665527344,,India,IN-TN,,Tamil Nadu,631001,91,Asia/Kolkata
Arkonam Airport,13.0712003708,79.69120025630002,,India,IN-TN,,Lakshadweep,,91,Asia/Kolkata
Agatti Airport,10.823699951171877,72.1760025024414,,India,IN-LD,Bengaluru,Karnataka,560103,91,Asia/Kolkata
HAL Airport,12.949999809300001,77.6681976318,Bangalore,India,IN-KA,Ballari,Karnataka,5831XX,91,Asia/Kolkata
Bellary Airport,15.162799835205078,76.88279724121094,Bellary,India,IN-KA,,Karnataka,560300,91,Asia/Kolkata
Kempegowda International Airport,13.1979,77.706299,Bangalore,India,IN-KA,Bidar,Karnataka,585400,91,Asia/Kolkata
Bidar Air Force Station,17.9081,77.487099,,India,IN-KA,,Andhra Pradesh,521101,91,Asia/Kolkata
Vijayawada Airport,16.530399,80.796799,Gannavaram,India,IN-AP,,Tamil Nadu,641062,91,Asia/Kolkata
Coimbatore International Airport,11.029999733,77.0434036255,Coimbatore,India,IN-TN,Kochi,Kerala,628002,91,Asia/Kolkata
